pair_speaker,from_ts,to_ts,words,is_present,window
ch07,96.669,99.669,what toys have we got <name>?,true,1514
ch07,99.18900000000001,102.18900000000001,what's this?,true,450
ch07,102.6525,105.6525,are you sure?,true,1247
ch07,107.8395,110.8395,no,true,2139
ch07,109.16,112.16,ah,true,314
ch07,110.627,113.627,lizard,true,1390
ch07,112.536,115.536,i think you might be right,true,2310
ch07,114.4015,117.4015,should we make the lizard walk along?,true,1183
ch07,116.467,119.467,yeah,true,592
ch07,117.63,120.63,let's make let's make the different,true,1602
ch07,120.0895,123.0895,the way they did the the animals move,true,1879
ch07,122.004,125.004,so how would a lizard move across the table?,true,1950
ch07,128.709,131.709,that's right,true,794
ch07,130.16,133.16,are lizards fast or slow do you think?,true,1700
ch07,134.41400000000002,137.41400000000002,<laugh>,true,1428
ch07,135.912,138.912,then bring it back again,true,968
ch07,138.278,141.278,ah,true,436
ch07,138.82750000000001,141.82750000000001,mr lizard,true,663
ch07,140.261,143.261,do you see him looking happy or sad today?,true,2204
ch07,145.647,148.647,<laugh>,true,422
ch07,146.4715,149.4715,grumpy,true,1041
ch07,148.5725,151.5725,are you grumpy mr lizard?,true,1489
ch07,150.407,153.407,what should we call him,true,914
ch07,153.49,156.49,no,true,210
ch07,154.154,157.154,that's not a nice name,true,1118
ch07,155.37,158.37,let's think of another name,true,1108
ch07,162.223,165.223,mr fast the lizard,true,1250
ch07,164.46,167.46,mr fast <noise>,true,1884
ch07,166.224,169.224,<noise>,true,782
ch07,170.303,173.303,he's really fast,true,1080
ch07,172.323,175.323,do lizards bounce?,true,1090
ch07,176.291,179.291,i don't think they bounce,true,1174
ch07,181.9735,184.9735,i don't think so,true,713
ch07,182.66,185.66,what animals,true,660
ch07,188.091,191.091,i don't,true,554
ch07,194.00650000000002,197.00650000000002,bring him back,true,549
ch07,195.6475,198.6475,bring him back on the table,true,929
ch07,196.562,199.562,<name>,true,216
ch07,197.73000000000002,200.73000000000002,do you remember seeing little lizards when we were on holiday?,true,2120
ch07,201.71,204.71,yeah did you see them bounce?,true,1560
ch07,206.7755,209.7755,no what did you see them do?,true,1687
ch07,210.714,213.714,i didn't see them hop,true,1030
ch07,212.22,215.22,i saw them crawl,true,1162
ch07,214.178,217.178,and i saw them crawl sometimes up a wall like that,true,2754
ch07,217.662,220.662,do you remember?,true,770
ch07,219.749,222.749,no?,true,512
ch07,225.61100000000002,228.61100000000002,i'm watching,true,626
ch07,227.92950000000002,230.92950000000002,oh,true,945
ch07,229.5765,232.5765,what's he called again?,true,873
ch07,235.175,238.175,mr fast,true,1160
ch07,236.6,239.6,so,true,874
ch07,239.70850000000002,242.70850000000002,i do you know what?,true,763
ch07,240.5175,243.5175,i was looking at him,true,855
ch07,242.2815,245.2815,and i was thinking where are his eyes?,true,2673
ch07,245.0675,248.0675,can you see his eyes anywhere?,true,1273
ch07,251.9555,254.9555,have a good old look all around him,true,1599
ch07,257.348,260.348,have you seen,true,656
ch07,260.567,263.567,i know mommy got it upside down,true,1708
ch07,265.193,268.193,or do they go the right way up?,true,1228
ch07,269.67,272.67,why do they go upside down darling?,true,1502
ch07,284.92900000000003,287.92900000000003,have a think about it,true,976
ch07,286.1675,289.1675,why do you think they might do that?,true,1501
ch07,291.92900000000003,294.92900000000003,what are they doing when they are hanging upside down?,true,2264
ch07,295.9975,298.9975,they are aren't they?,true,1571
ch07,298.2315,301.2315,do you think they hang upside down,true,1407
ch07,302.6875,305.6875,than if they stay up like that?,true,1401
ch07,305.749,308.749,well do you think when they go upside down it makes their eyes shut?,true,2080
ch07,314.0145,317.0145,i don't really know the answer,true,1513
ch07,316.1385,319.1385,and what does a bat do?,true,1223
ch07,317.2625,320.2625,show me what a bat does,true,1013
ch07,319.5125,322.5125,<laugh>,true,309
ch07,320.1235,323.1235,see his wings,true,913
ch07,323.572,326.572,that's right,true,1510
ch07,326.0625,329.0625,<name>,true,333
ch07,326.999,329.999,have you ever seen a real bat?,true,1540
ch07,329.2685,332.2685,no?,true,667
ch07,330.7995,333.7995,mommy and dad,true,765
ch07,332.80400000000003,335.80400000000003,shall i tell you when mommy and daddy see a bat sometimes?,true,2340
ch07,335.362,338.362,you don't want to know,true,864
ch07,338.053,341.053,we see bats in the evening,true,2572
ch07,340.2505,343.2505,after it's gone dark,true,1721
ch07,342.45300000000003,345.45300000000003,and sometimes you see a bat,true,1460
ch07,343.991,346.991,and it will fly pass the window,true,1334
ch07,345.503,348.503,and we will be like hang on a minute,true,1690
ch07,346.988,349.988,it can't be a bird,true,1280
ch07,348.708,351.708,coz birds don't come out after dark,true,2100
ch07,351.599,354.599,that's how we know it's a bat,true,2060
ch07,394.82800000000003,397.82800000000003,what other animals were on the table just now?,false,2830
ch07,400.51,403.51,mmhm,false,716
ch07,406.90250000000003,409.90250000000003,let's have a little think,false,965
ch07,407.836,410.836,bat,false,700
ch07,409.94350000000003,412.94350000000003,there was a pink one i remember,false,1837
ch07,411.536,414.536,what was the pink one?,false,1176
ch07,415.0425,418.0425,okay,false,269
ch07,415.8895,418.8895,this is the clue oink oink,false,1425
ch07,418.351,421.351,good,false,488
ch07,424.12350000000004,427.12350000000004,what would that be?,false,813
ch07,426.46500000000003,429.46500000000003,a lion,false,882
ch07,427.42,430.42,roar,false,808
ch07,429.8225,432.8225,and i saw what else did i see?,false,2475
ch07,440.827,443.827,so bats only come out at night,false,2770
ch07,444.197,447.197,and you know that the bats have those two eyes,false,2330
ch07,446.7595,449.7595,actually,false,697
ch07,447.7765,450.7765,this is a really weird thing,false,1337
ch07,449.5295,452.5295,bats can't see,false,1395
ch07,451.4375,454.4375,they're blind,false,937
ch07,455.64050000000003,458.64050000000003,i know,false,921
ch07,462.776,465.776,no,false,384
ch07,463.5745,466.5745,they're just made like that,false,1213
ch07,466.2985,469.2985,i know,false,515
ch07,467.1735,470.1735,isn't that awful?,false,1235
ch07,469.6375,472.6375,so,false,175
ch07,470.54,473.54,how do they manage to fly around?,false,1630
ch07,476.169,479.169,pretending to be blind?,false,1088
ch07,477.326,480.326,do you remember how hard it was?,false,1226
ch07,479.334,482.334,like you kept bumping into things,false,1500
ch07,489.3175,492.3175,bang,false,849
ch07,490.5565,493.5565,that's it,false,479
ch07,491.334,494.334,see it's really hard,false,1018
ch07,497.029,500.029,do you know why?,false,746
